DANCE 60B,CHOREOGRAPHY I,DANCE 60A
DANCE 90B,DANCE HISTORY 1B,DANCE 90A
DANCE 104,PILATES REFORMER,DANCE 103
DANCE 132B,BALLET II,DANCE 132A
DANCE 133B,BALLET III,DANCE 133A
DANCE 134B,BALLET IV,DANCE 134A
DANCE 135B,BALLET V,DANCE 135A
DANCE 137,REPERTORY,DANCE 133A,DANCE 143A, AND,DANCE 133B,DANCE 143B, AND,DANCE 133C,DANCE 143C
DANCE 139,PARTNERING,DANCE 133A, AND,DANCE 133B, AND,DANCE 133C, AND,DANCE 143A, AND,DANCE 143B, AND,DANCE 143C
DANCE 142B,MODERN II,DANCE 142A
DANCE 143B,MODERN III,DANCE 143A
DANCE 144B,MODERN IV,DANCE 144A
DANCE 152B,JAZZ II,DANCE 152A
DANCE 153B,JAZZ III,DANCE 153A
DANCE 162B,CHOREOGRAPHY II,DANCE 60A, AND,DANCE 60B, AND,DANCE 60C, AND,DANCE 162A
